O,O3,NO,NO2,NO3,O1D,N2O5,OH,HO2,H2,CO,H2O2,HONO,HNO3,HO2NO2,SO2,SO3,HSO3,NA,SA,CL,CH4,CH3O2,CH3OOH,HCHO,CH3NO3,CH3O,CH3O2NO2,CH3OH,times
5.644999177294571e-20,2.720172273746613e-10,3.48791041426344e-10,6.355815140432011e-10,5.842483497623944e-16,4.363315233845017e-25,3.379289148110454e-15,2.8015841734872876e-16,1.5625373947202084e-15,4.409540101838111e-7,3.918951781963029e-8,1.0965763508891411e-10,2.9805175095716885e-14,3.773488246473827e-14,2.2841552013232283e-15,8.819063029590236e-10,5.957175058431259e-20,1.2201545673893327e-23,3.6154134531214615e-16,2.0353961350557415e-15,0.0,4.789390147634907e-7,2.1350873796085865e-16,6.194839273733393e-20,9.125278318277705e-10,1.9743287850407944e-17,5.5204641745676294e-21,8.064330504033898e-17,2.736217883923128e-11,-90.0
3.673732170595193e-20,1.7432411542315513e-10,3.6245126654668596e-10,6.551568567612433e-10,4.230658545342471e-16,3.723080616517346e-25,2.5973913458895854e-15,9.21286168294346e-17,1.1125088624639264e-15,4.437300022904061e-7,4.1197568585991664e-8,1.1123819935197691e-10,3.188567863493619e-14,4.1688231604800465e-14,2.1776899304698066e-15,8.874581224681239e-10,3.1631605028041736e-20,5.63205261946837e-24,4.376079636129492e-16,2.1739372852558667e-15,0.0,4.794201040232791e-7,1.9299387845907325e-16,6.467624435414161e-20,9.155125681692444e-10,2.1540482444190658e-17,7.385829001088562e-21,9.496666166558122e-17,2.6393449230303635e-11,-75.0
4.024536312017134e-20,1.424741371528332e-10,4.008856359684331e-10,6.891647695914963e-10,2.9942056390791244e-16,1.306435707013675e-25,2.5390172276857603e-15,1.8521849092944108e-16,1.2888581062373143e-15,4.4652072272338623e-7,4.3280095189986785e-8,1.1176049899357798e-10,3.345149645463998e-14,4.459672136606588e-14,2.301220929654358e-15,8.930394399096849e-10,3.633108576888475e-20,7.530871199531565e-24,5.015566442045076e-16,2.2841668481135807e-15,0.0,4.803743580488724e-7,1.6683865402384487e-16,6.618416937674708e-20,9.311995258932036e-10,2.287377101371354e-17,6.210374969981807e-21,7.496283838003504e-17,2.594121462655528e-11,-60.0
2.8499101618237575e-20,1.8387525073520547e-10,4.508555694632201e-10,7.200327370169992e-10,3.590915445953707e-16,2.792269435985446e-25,2.4710656617913325e-15,7.286914706186508e-17,8.179022327424786e-16,4.490649449226701e-7,4.6087657932220555e-8,1.1076775673303594e-10,3.468044149801723e-14,4.6758404342481505e-14,2.3742561037945747e-15,8.981277931854235e-10,2.1656696651885186e-20,4.480102193389406e-24,5.56846555067323e-16,2.375507664512515e-15,0.0,4.811567698156959e-7,1.056943815659306e-16,6.681842344777186e-20,9.079068777536886e-10,2.379802631349373e-17,3.0096781864281653e-21,5.4564455552135795e-17,2.6417957060217434e-11,-45.0
2.973638487018256e-20,2.1174088406221567e-10,4.4876395911862016e-10,7.299042677859872e-10,4.1319567207480696e-16,3.178814340400462e-25,1.9535607777023405e-15,7.134340944552144e-17,6.321812615578668e-16,4.517950941215208e-7,4.6049435207305954e-8,1.1202567496993332e-10,3.615140236580303e-14,4.914453856378552e-14,2.0852694722416675e-15,9.035880005247705e-10,1.306523551786536e-20,2.703848523642063e-24,6.129216992946257e-16,2.4720301989861954e-15,0.0,4.806242747096664e-7,6.910550360906063e-17,6.743929741927902e-20,9.028224305843402e-10,2.473538299522285e-17,4.858777202228851e-21,3.4799391636066837e-17,2.6671937630394193e-11,-30.0
2.905785181815389e-20,2.1972177228450338e-10,5.825006579238121e-10,7.066385138863598e-10,4.01038012896816e-16,3.1417851675427e-25,1.7131811723751686e-15,7.365643252797198e-17,6.364751806059899e-16,4.543659457505022e-7,4.532597941576401e-8,1.1328337072493867e-10,3.762325845242305e-14,5.158218966843904e-14,1.7504149933374108e-15,9.087296110225037e-10,6.815450048728201e-21,9.759743273992901e-25,6.720530213426733e-16,2.5674851592122233e-15,0.0,4.768843952471511e-7,7.413247592898271e-17,6.804458771411495e-20,9.485945530601982e-10,2.5679147823356712e-17,8.22772699821493e-21,3.5400653845724264e-17,2.5769858229313815e-11,-15.0
2.894523122899266e-20,2.2394469421053911e-10,6.779968410765199e-10,7.348262815821444e-10,4.0191905410060913e-16,2.515779866232477e-25,1.3771446879302093e-15,1.0793271886698122e-16,4.139525818853369e-16,4.5705525663396434e-7,4.473225979753208e-8,1.132805752554585e-10,3.9347134465641125e-14,5.3660223773934596e-14,1.4909141329217819e-15,9.141081614921208e-10,4.026944415233307e-21,7.579160192163599e-25,7.212455866310927e-16,2.643810571210734e-15,0.0,4.7372161351531903e-7,4.3120535392536244e-17,6.865214447800358e-20,9.151598544187759e-10,2.6506430907713882e-17,5.0955497573690856e-21,1.8243543424015943e-17,2.5227441701882937e-11,0.0
3.307492431943057e-20,3.023803424808144e-10,6.765770873594423e-10,7.63217251327524e-10,4.0524047743379383e-16,3.8161972783692665e-25,1.2302777507253037e-15,5.631355335107734e-17,2.4952755463683095e-16,4.59670184703073e-7,4.431066324387832e-8,1.1446042878242493e-10,4.1065292373377804e-14,5.54838819893403e-14,1.2288648809759076e-15,9.193379667859255e-10,1.1150604249601235e-20,2.1297645323602132e-24,7.666144639354347e-16,2.7249817072677854e-15,0.0,4.711978356795608e-7,2.941942913746639e-17,6.92411669634797e-20,9.474584335766446e-10,2.7197715538749445e-17,3.764585831849025e-21,1.5214263159918732e-17,2.4488826636605927e-11,15.0
2.971662482870022e-20,2.1937468182319791e-10,6.677305062054459e-10,7.448908861422565e-10,2.9460792245078997e-16,2.5782365108971153e-25,1.777662358409634e-15,6.00544607210948e-17,2.2485795494376663e-16,4.624130977843362e-7,4.3885893408424605e-8,1.144510462575585e-10,4.30767586466912e-14,5.77243920709985e-14,9.056050922686859e-16,9.248237293263774e-10,1.3875063179861835e-20,2.345660543042871e-24,8.206303563713237e-16,2.7943849065485436e-15,0.0,4.698237978061887e-7,2.5396371176118444e-17,6.985080530145848e-20,9.231442850882526e-10,2.801234282533115e-17,2.500914729040187e-21,1.2604879027267992e-17,2.4426402221622376e-11,30.0
7.374847503806451e-20,2.285999962320258e-10,6.501573305850147e-10,7.41932097809862e-10,3.1535688726243797e-16,7.6300387430352945e-25,1.481591156534448e-15,2.741045911306363e-16,1.0053454281895026e-15,4.6521167023562825e-7,4.367204173846737e-8,1.1880947106288482e-10,4.531338810285452e-14,6.019080191917696e-14,6.078404985475763e-16,9.304208019278886e-10,1.3688796485344715e-20,5.09837049234788e-24,8.691342207467995e-16,2.891282369115731e-15,0.0,4.675233841543295e-7,1.277221780910835e-16,7.046861684621243e-20,1.031110975928422e-9,2.88398097709194e-17,4.988644738069369e-21,6.121248038803451e-17,2.5341882973370783e-11,45.0
5.273895475608675e-20,2.549458351391079e-10,6.189114555712066e-10,7.536541720678691e-10,3.697203418508589e-16,5.486837612907816e-25,1.2196700447904566e-15,1.729991934067862e-16,5.907346390835447e-16,4.678932540631536e-7,4.309858936694375e-8,1.2050947887160711e-10,4.8392249990130884e-14,6.367475073197318e-14,1.0222055253494937e-15,9.357838603848008e-10,3.492972676379701e-20,7.855500577375752e-24,9.179949526424744e-16,3.031125536132771e-15,0.0,4.660973331674334e-7,6.090660014158145e-17,7.107547820153954e-20,9.946333432096226e-10,3.014392782467822e-17,2.3784696664450826e-21,2.5159115113517427e-17,2.6466774994718897e-11,60.0
